Date,Time,spendingDetail,spendingAmount,currency
2023-01-21,18:00,ซื้อของที่ร้านสะดวกซื้อ,300,THB
2023-01-22,12:00,ซื้อเครื่องดื่มที่ร้านกาแฟ,200,THB
2023-01-22,16:00,ซื้อตั๋วเข้าชมสวนสนุก,2500,THB
2023-01-23,10:00,ซื้อของที่ Tesco Lotus,800,THB
2023-01-23,14:00,ชำระค่าบริการอินเทอร์เน็ต,1000,THB
2023-01-24,9:00,ซื้อของที่ Big C,500,THB
2023-01-24,13:30,ซื้อของออนไลน์ที่ Lazada,1500,THB
2023-01-25,10:00,ซื้อของที่ 7-Eleven,100,THB
2023-01-25,15:00,ซื้อของที่ร้านเครื่องสำอาง,800,THB
2023-01-26,9:00,ชำระค่าบริการอินเทอร์เน็ต,600,THB
2023-01-26,14:00,ซื้อของที่ร้านค้าทั่วไป,400,THB
2023-01-26,18:00,ซื้อของที่ร้านสะดวกซื้อ,150,THB
2023-01-27,10:00,ซื้อของที่ร้านอุปกรณ์กีฬา,1200,THB
2023-01-27,13:00,ซื้อตั๋วเครื่องบิน,5000,THB
2023-01-27,19:00,ชำระค่าบริการโทรศัพท์มือถือ,300,THB
2023-01-28,11:00,ซื้อของที่ Central,2000,THB
2023-01-28,15:00,ซื้อเครื่องใช้ไฟฟ้า,3000,THB
2023-01-28,20:00,ซื้อของที่ร้านหนังสือ,800,THB
2023-01-29,10:00,ซื้อของที่ 7-Eleven,200,THB
2023-01-29,16:00,ซื้อของที่ร้านสะดวกซื้อ,300,THB
2023-01-30,9:00,ชำระค่าบริการสาธารณูปโภค,1000,THB
2023-01-30,12:00,ซื้อของออนไลน์ที่ Shopee,1200,THB
2023-01-30,18:00,ซื้อของที่ Big C,1500,THB
2023-01-31,10:00,ซื้อของที่ Tesco Lotus,600,THB
2023-01-31,14:00,ซื้อของที่ร้านเครื่องสำอาง,800,THB
2023-01-31,19:00,ชำระค่าบริการโทรศัพท์มือถือ,500,THB
2023-01-31,21:00,ซื้อของที่ร้านค้าออนไลน์,1200,THB
